DR_NO,Crm Cd,Crm Cd Desc
210806565,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211712849,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210311535,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211010490,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211607689,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211604244,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210316754,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210414125,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210911566,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212117615,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211907760,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210605709,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211015920,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211221873,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210117064,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211013382,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211422868,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212108405,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211708919,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212109463,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211709625,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211015031,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212007774,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212112894,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212010100,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212011526,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212107031,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212111922,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211909016,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210505014,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210317997,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212113064,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211210646,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212116212,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210304019,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212112512,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211015468,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210216166,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221012375,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211111853,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211715717,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211113880,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210408320,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210904823,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211710176,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212111562,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212010111,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
