DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd
221507710,03/30/2022 12:00:00 AM,01/30/2020 12:00:00 AM,1305,15,N Hollywood,1555,2,354
221300973,09/09/2022 12:00:00 AM,06/01/2020 12:00:00 AM,1900,13,Newton,1352,2,810
222114709,09/26/2022 12:00:00 AM,06/19/2020 12:00:00 AM,600,21,Topanga,2113,2,354
221006046,02/24/2022 12:00:00 AM,11/19/2020 12:00:00 AM,1200,10,West Valley,1025,2,354
221609983,06/30/2022 12:00:00 AM,08/01/2020 12:00:00 AM,1200,16,Foothill,1668,2,930
221806358,02/21/2022 12:00:00 AM,02/21/2020 12:00:00 AM,2300,18,Southeast,1849,2,354
221315910,10/29/2020 12:00:00 AM,08/02/2020 12:00:00 AM,1415,13,Newton,1361,2,354
230908117,04/13/2023 12:00:00 AM,07/31/2020 12:00:00 AM,1,9,Van Nuys,989,2,354
231309176,04/14/2023 12:00:00 AM,10/19/2020 12:00:00 AM,1445,13,Newton,1393,2,354
232014656,08/25/2023 12:00:00 AM,06/25/2020 12:00:00 AM,1445,20,Olympic,2026,2,354
221905982,02/20/2022 12:00:00 AM,02/20/2020 12:00:00 AM,1500,19,Mission,1977,2,901
230109090,03/10/2023 12:00:00 AM,04/10/2020 12:00:00 AM,200,1,Central,163,2,354
221309225,04/07/2022 12:00:00 AM,04/03/2020 12:00:00 AM,144,13,Newton,1331,2,354
210904288,01/09/2021 12:00:00 AM,12/27/2020 12:00:00 AM,1600,9,Van Nuys,964,1,442
231905726,02/08/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1,19,Mission,1995,2,812
221615196,12/16/2022 12:00:00 AM,12/01/2020 12:00:00 AM,1,16,Foothill,1602,2,354
220120619,09/16/2022 12:00:00 AM,09/15/2020 12:00:00 AM,1541,1,Central,185,2,740
220610269,05/13/2022 12:00:00 AM,10/08/2020 12:00:00 AM,1925,6,Hollywood,656,2,354
230218442,10/02/2023 12:00:00 AM,01/01/2020 12:00:00 AM,900,2,Rampart,235,2,812
221004804,01/23/2022 12:00:00 AM,11/23/2020 12:00:00 AM,1435,10,West Valley,1063,2,354
232110833,06/23/2023 12:00:00 AM,06/01/2020 12:00:00 AM,1200,21,Topanga,2146,2,354
222004619,12/21/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1529,20,Olympic,2069,1,341
220208989,04/14/2022 12:00:00 AM,04/14/2020 12:00:00 AM,945,2,Rampart,256,2,354
231806653,06/12/2022 12:00:00 AM,03/04/2020 12:00:00 AM,800,18,Southeast,1832,2,946
220706120,02/23/2022 12:00:00 AM,10/13/2020 12:00:00 AM,900,7,Wilshire,702,2,354
230208225,03/28/2023 12:00:00 AM,03/28/2020 12:00:00 AM,1450,2,Rampart,237,2,354
221806331,02/15/2022 12:00:00 AM,04/10/2020 12:00:00 AM,815,18,Southeast,1802,1,440
210704053,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,400,7,Wilshire,722,1,310
231221370,10/11/2023 12:00:00 AM,03/20/2020 12:00:00 AM,1000,12,77th Street,1259,2,354
221016479,11/14/2022 12:00:00 AM,07/24/2020 12:00:00 AM,1500,10,West Valley,1017,1,761
221011289,07/05/2022 12:00:00 AM,03/01/2020 12:00:00 AM,1200,10,West Valley,1001,2,626
231421770,12/13/2023 12:00:00 AM,03/13/2020 12:00:00 AM,1200,14,Pacific,1464,1,440
221811572,05/24/2022 12:00:00 AM,08/02/2020 12:00:00 AM,324,18,Southeast,1841,2,354
230404996,01/30/2023 12:00:00 AM,08/23/2020 12:00:00 AM,800,4,Hollenbeck,488,2,649
232117501,12/09/2023 12:00:00 AM,05/10/2020 12:00:00 AM,1645,21,Topanga,2157,2,354
221220860,09/15/2022 12:00:00 AM,01/18/2020 12:00:00 AM,1,12,77th Street,1213,2,354
220504655,01/20/2022 12:00:00 AM,01/19/2020 12:00:00 AM,2200,5,Harbor,551,1,331
230813464,07/22/2023 12:00:00 AM,10/01/2020 12:00:00 AM,1755,8,West LA,828,2,354
231905565,02/06/2023 12:00:00 AM,01/01/2020 12:00:00 AM,5,19,Mission,1964,2,626
220910623,06/21/2022 12:00:00 AM,11/19/2020 12:00:00 AM,1,9,Van Nuys,939,2,354
221226041,12/27/2022 12:00:00 AM,11/20/2020 12:00:00 AM,1010,12,77th Street,1267,1,440
231207476,02/27/2023 12:00:00 AM,08/15/2020 12:00:00 AM,1,12,77th Street,1273,1,310
221708027,04/13/2022 12:00:00 AM,08/09/2020 12:00:00 AM,905,17,Devonshire,1745,2,354
220717687,12/12/2022 12:00:00 AM,02/12/2020 12:00:00 AM,840,7,Wilshire,714,2,354
230507674,04/11/2023 12:00:00 AM,07/30/2020 12:00:00 AM,835,5,Harbor,585,2,354
220909334,05/18/2022 12:00:00 AM,10/01/2020 12:00:00 AM,1400,9,Van Nuys,971,2,354
221015665,10/25/2022 12:00:00 AM,06/09/2020 12:00:00 AM,1535,10,West Valley,1023,2,354
201308739,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1210,13,Newton,1333,1,510
221225047,12/09/2022 12:00:00 AM,12/02/2020 12:00:00 AM,1535,12,77th Street,1251,2,354
231810634,05/19/2023 12:00:00 AM,01/02/2020 12:00:00 AM,800,18,Southeast,1824,2,354
230513434,09/12/2023 12:00:00 AM,09/01/2020 12:00:00 AM,1,5,Harbor,526,2,662
221007765,04/10/2022 12:00:00 AM,04/06/2020 12:00:00 AM,1200,10,West Valley,1024,1,510
220311221,05/23/2022 12:00:00 AM,04/29/2020 12:00:00 AM,1,3,Southwest,395,2,845
220318793,10/19/2022 12:00:00 AM,10/19/2020 12:00:00 AM,1900,3,Southwest,311,2,812
221209976,04/14/2022 12:00:00 AM,09/27/2020 12:00:00 AM,1104,12,77th Street,1268,2,956
230605916,02/09/2023 12:00:00 AM,02/09/2020 12:00:00 AM,1415,6,Hollywood,636,2,354
241204387,01/05/2024 12:00:00 AM,05/05/2020 12:00:00 AM,1025,12,77th Street,1269,2,354
231420590,11/20/2023 12:00:00 AM,11/20/2020 12:00:00 AM,1000,14,Pacific,1413,2,956
230113770,06/06/2023 12:00:00 AM,03/20/2020 12:00:00 AM,800,1,Central,142,2,668
220712955,08/16/2022 12:00:00 AM,11/08/2020 12:00:00 AM,1005,7,Wilshire,722,1,440
230710300,09/22/2022 12:00:00 AM,07/26/2020 12:00:00 AM,1200,7,Wilshire,701,2,662
220717203,11/30/2022 12:00:00 AM,03/01/2020 12:00:00 AM,945,7,Wilshire,725,2,354
220904776,01/22/2022 12:00:00 AM,12/28/2020 12:00:00 AM,1200,9,Van Nuys,974,1,310
221006113,02/27/2022 12:00:00 AM,08/24/2020 12:00:00 AM,2000,10,West Valley,1029,1,330
231007048,03/21/2023 12:00:00 AM,07/30/2020 12:00:00 AM,1645,10,West Valley,1024,2,354
221711184,06/15/2022 12:00:00 AM,05/15/2020 12:00:00 AM,155,17,Devonshire,1795,2,354
220407814,04/22/2022 12:00:00 AM,04/01/2020 12:00:00 AM,5,4,Hollenbeck,459,1,121
231205329,01/20/2023 12:00:00 AM,06/20/2020 12:00:00 AM,1140,12,77th Street,1204,2,354
220619758,12/05/2022 12:00:00 AM,06/15/2020 12:00:00 AM,1500,6,Hollywood,643,2,626
211104796,01/24/2021 12:00:00 AM,01/23/2020 12:00:00 AM,800,11,Northeast,1172,2,745
241204463,01/07/2024 12:00:00 AM,06/07/2020 12:00:00 AM,1315,12,77th Street,1293,2,354
220911160,07/06/2022 12:00:00 AM,03/01/2020 12:00:00 AM,1000,9,Van Nuys,923,2,354
212015258,10/05/2021 12:00:00 AM,06/23/2020 12:00:00 AM,1229,20,Olympic,2034,2,354
222010418,05/29/2022 12:00:00 AM,05/27/2020 12:00:00 AM,1800,20,Olympic,2014,2,626
222013040,08/06/2022 12:00:00 AM,06/04/2020 12:00:00 AM,1620,20,Olympic,2054,2,354
211206198,02/03/2021 12:00:00 AM,12/20/2020 12:00:00 AM,1400,12,77th Street,1265,2,624
220712765,08/11/2022 12:00:00 AM,03/20/2020 12:00:00 AM,1015,7,Wilshire,773,2,354
