DR_NO,Date Rptd,DATE OCC,TIME OCC
200121796,12/01/2020 12:00:00 AM,12/01/2020 12:00:00 AM,1659
200618373,11/21/2020 12:00:00 AM,11/21/2020 12:00:00 AM,140
201913310,08/15/2020 12:00:00 AM,08/15/2020 12:00:00 AM,1015
200713831,09/14/2020 12:00:00 AM,09/14/2020 12:00:00 AM,1018
200216800,10/28/2020 12:00:00 AM,10/27/2020 12:00:00 AM,1000
200612680,07/16/2020 12:00:00 AM,06/26/2020 12:00:00 AM,2340
200505818,02/13/2020 12:00:00 AM,02/13/2020 12:00:00 AM,50
201308146,03/14/2020 12:00:00 AM,03/14/2020 12:00:00 AM,1745
201818720,10/12/2020 12:00:00 AM,10/12/2020 12:00:00 AM,1725
200514010,09/11/2020 12:00:00 AM,09/11/2020 12:00:00 AM,245
200505411,02/03/2020 12:00:00 AM,02/03/2020 12:00:00 AM,600
201222268,10/09/2020 12:00:00 AM,10/09/2020 12:00:00 AM,1000
201501012,10/11/2020 12:00:00 AM,10/10/2020 12:00:00 AM,1735
202004714,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1830
200110406,04/13/2020 12:00:00 AM,04/13/2020 12:00:00 AM,1300
201416497,09/01/2020 12:00:00 AM,09/01/2020 12:00:00 AM,1505
200414856,11/14/2020 12:00:00 AM,11/14/2020 12:00:00 AM,405
200605824,02/08/2020 12:00:00 AM,02/07/2020 12:00:00 AM,1200
201320053,11/16/2020 12:00:00 AM,11/16/2020 12:00:00 AM,1512
200407019,03/17/2020 12:00:00 AM,03/17/2020 12:00:00 AM,1145
200314683,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,1530
200616533,10/10/2020 12:00:00 AM,10/10/2020 12:00:00 AM,1650
202010474,06/01/2020 12:00:00 AM,06/01/2020 12:00:00 AM,1930
201214459,06/11/2020 12:00:00 AM,06/11/2020 12:00:00 AM,355
200710980,06/26/2020 12:00:00 AM,06/26/2020 12:00:00 AM,1545
200219004,12/25/2020 12:00:00 AM,12/25/2020 12:00:00 AM,1730
201316546,09/05/2020 12:00:00 AM,09/05/2020 12:00:00 AM,2128
201219421,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,850
201208969,03/12/2020 12:00:00 AM,03/12/2020 12:00:00 AM,150
200804247,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1135
201819056,10/17/2020 12:00:00 AM,10/17/2020 12:00:00 AM,2100
200709800,05/30/2020 12:00:00 AM,05/30/2020 12:00:00 AM,1620
201912544,07/27/2020 12:00:00 AM,07/24/2020 12:00:00 AM,2300
201820940,11/21/2020 12:00:00 AM,11/21/2020 12:00:00 AM,2115
201407474,02/29/2020 12:00:00 AM,02/28/2020 12:00:00 AM,1535
200700757,08/21/2020 12:00:00 AM,08/21/2020 12:00:00 AM,1930
202100926,11/12/2020 12:00:00 AM,11/12/2020 12:00:00 AM,2015
