DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON
201915591,19,Mission,1913,14900 OSWALD ST,,34.3006,-118.4602
200715655,7,Wilshire,785,4700 W 23RD ST,,34.035,-118.3427
201414083,14,Pacific,1425,3100 SAWTELLE BL,,34.0209,-118.4318
200311105,3,Southwest,362,4500 RODEO LN,,34.0203,-118.3452
200116473,1,Central,195,1300 S HILL ST,,34.0372,-118.2625
200111184,1,Central,176,300 E 8TH ST,,34.0413,-118.2517
202117018,21,Topanga,2102,8300 DENISE LN,,34.2196,-118.631
201016530,10,West Valley,1039,6700 HASKELL AV,,34.192,-118.4749
200218535,2,Rampart,235,ALVARADO,COURT,34.0677,-118.2731
201113542,11,Northeast,1112,4500 W AVENUE 40,,34.1318,-118.2312
200507627,5,Harbor,532,1000 RONAN AV,,33.7824,-118.2719
211004370,10,West Valley,1001,8200 VANALDEN AV,,34.2193,-118.5492
200415525,4,Hollenbeck,448,1500 N INDIANA ST,,34.0591,-118.1965
200108260,1,Central,118,SPRING ST,SOTELLO ST,34.0677,-118.2309
202109970,21,Topanga,2139,20200 COHASSET ST,,34.2071,-118.5739
201415703,14,Pacific,1432,800 CALIFORNIA AV,,33.9947,-118.4632
201604273,16,Foothill,1601,12900 FOOTHILL BL,,34.2935,-118.4152
202008589,20,Olympic,2021,4600 W 3RD ST,,34.069,-118.3154
201604233,16,Foothill,1612,11100 DE HAVEN AV,,34.2743,-118.4138
200716747,7,Wilshire,782,SYCAMORE AV,21ST ST,34.0387,-118.3717
201318181,13,Newton,1351,200 W 41ST ST,,34.0091,-118.2762
201519119,15,N Hollywood,1545,12000 HARTSOOK ST,,34.164,-118.3958
201105181,11,Northeast,1138,6100 ALDAMA ST,,34.1172,-118.1912
201105983,11,Northeast,1128,6300 N FIGUEROA ST,,34.1155,-118.1843
201604143,16,Foothill,1654,MONTAGUE,BRADLEY,34.2528,-118.4042
201219560,12,77th Street,1269,700 E 79TH ST,,33.9674,-118.263
201806486,18,Southeast,1836,1400 E 108TH ST,,33.9378,-118.2499
201211994,12,77th Street,1259,800 E FLORENCE AV,,33.9748,-118.2608
201314544,13,Newton,1361,46TH ST,BROADWAY,34.002,-118.2783
201906092,19,Mission,1901,16600 FOOTHILL BL,,34.3216,-118.4958
201821435,18,Southeast,1802,300 W MANCHESTER AV,,33.9601,-118.2783
201908200,19,Mission,1977,13600 RAYEN ST,,34.2385,-118.4293
201409919,14,Pacific,1494,300 WORLD WY,,33.9449,-118.4061
200415354,4,Hollenbeck,487,GARNET ST,MARIETTA ST,34.0281,-118.2142
202014688,20,Olympic,2038,SHATTO PL,WILSHIRE BL,34.0618,-118.2903
202016589,20,Olympic,2071,1500 S WILTON PL,,34.0436,-118.3145
200711276,7,Wilshire,729,200 S PLYMOUTH BL,,34.0726,-118.3279
200507886,5,Harbor,528,1000 MCFARLAND AV,,33.7833,-118.2528
200612787,6,Hollywood,647,6200 W HOLLYWOOD BL,,34.1016,-118.3252
200806868,8,West LA,827,11600 GORHAM AV,,34.0559,-118.4636
201518791,15,N Hollywood,1525,5600 COLFAX AV,,34.1826,-118.3916
201006479,10,West Valley,1065,5300 NEWCASTLE AV,,34.1667,-118.5243
201107817,11,Northeast,1142,1900 RODNEY DR,,34.1054,-118.2889
201009328,10,West Valley,1025,6900 CHIMINEAS AV,,34.196,-118.5284
201705038,17,Devonshire,1728,18200 BERMUDA ST,,34.2663,-118.5296
200114869,1,Central,119,ALPINE ST,MAIN ST,34.0614,-118.2357
200510629,5,Harbor,566,200 W 10TH ST,,33.7351,-118.2814
200309772,3,Southwest,363,3700 VIRGINIA RD,,34.0166,-118.3395
200916139,9,Van Nuys,911,15600 VANOWEN ST,,34.1939,-118.4732
200312723,3,Southwest,363,4000 PALMYRA RD,,34.0142,-118.3423
200410932,4,Hollenbeck,423,1700 SICHEL ST,,34.0618,-118.2127
201313187,13,Newton,1307,9TH ST,GLADYS,34.0344,-118.2471
201822475,18,Southeast,1891,16900 S DENVER AV,,33.8777,-118.2836
201410333,14,Pacific,1445,12400 WASHINGTON PL,,33.9989,-118.4369
201615864,16,Foothill,1623,VAN NUYS BL,LEHIGH AV,34.2694,-118.4173
201916887,19,Mission,1909,13100 HUBBARD ST,,34.3175,-118.419
