DR_NO,Date Rptd,DATE OCC,TIME OCC
212015578,10/12/2021 12:00:00 AM,10/09/2021 12:00:00 AM,1330
210404175,01/05/2021 12:00:00 AM,01/05/2021 12:00:00 AM,1120
210408390,05/07/2021 12:00:00 AM,05/07/2021 12:00:00 AM,1335
212107565,04/10/2021 12:00:00 AM,04/09/2021 12:00:00 AM,635
211714255,10/26/2021 12:00:00 AM,10/26/2021 12:00:00 AM,250
212112513,08/12/2021 12:00:00 AM,08/08/2021 12:00:00 AM,1500
210615511,09/06/2021 12:00:00 AM,09/06/2021 12:00:00 AM,2300
211013293,10/12/2021 12:00:00 AM,10/12/2021 12:00:00 AM,1500
211015502,12/09/2021 12:00:00 AM,12/09/2021 12:00:00 AM,1115
210617785,10/21/2021 12:00:00 AM,10/21/2021 12:00:00 AM,2200
210516915,12/08/2021 12:00:00 AM,12/08/2021 12:00:00 AM,920
210413100,09/22/2021 12:00:00 AM,09/21/2021 12:00:00 AM,1800
212013467,08/20/2021 12:00:00 AM,08/19/2021 12:00:00 AM,1920
210607466,03/25/2021 12:00:00 AM,03/24/2021 12:00:00 AM,2140
211707019,03/28/2021 12:00:00 AM,03/27/2021 12:00:00 AM,2330
211518424,12/07/2021 12:00:00 AM,12/07/2021 12:00:00 AM,1430
212011806,07/19/2021 12:00:00 AM,07/18/2021 12:00:00 AM,1637
211007154,04/16/2021 12:00:00 AM,04/15/2021 12:00:00 AM,1850
210515382,10/28/2021 12:00:00 AM,10/28/2021 12:00:00 AM,1040
211007089,04/14/2021 12:00:00 AM,04/13/2021 12:00:00 AM,1926
211308530,04/15/2021 12:00:00 AM,04/14/2021 12:00:00 AM,1800
211407364,02/28/2021 12:00:00 AM,02/28/2021 12:00:00 AM,10
211916250,12/02/2021 12:00:00 AM,12/02/2021 12:00:00 AM,700
211708323,05/08/2021 12:00:00 AM,05/08/2021 12:00:00 AM,1345
210817423,12/08/2021 12:00:00 AM,08/01/2021 12:00:00 AM,820
212108829,05/11/2021 12:00:00 AM,05/11/2021 12:00:00 AM,1930
211013273,10/11/2021 12:00:00 AM,10/11/2021 12:00:00 AM,935
211817720,09/29/2021 12:00:00 AM,09/29/2021 12:00:00 AM,1630
210409113,05/28/2021 12:00:00 AM,05/28/2021 12:00:00 AM,1500
211015019,11/27/2021 12:00:00 AM,11/27/2021 12:00:00 AM,1110
211807556,03/12/2021 12:00:00 AM,03/12/2021 12:00:00 AM,1100
210319220,11/21/2021 12:00:00 AM,11/21/2021 12:00:00 AM,1015
210612208,07/05/2021 12:00:00 AM,07/05/2021 12:00:00 AM,1145
211312577,07/11/2021 12:00:00 AM,07/11/2021 12:00:00 AM,1750
210812557,08/07/2021 12:00:00 AM,08/06/2021 12:00:00 AM,1429
212117675,12/17/2021 12:00:00 AM,12/13/2021 12:00:00 AM,1150
211504384,01/12/2021 12:00:00 AM,01/11/2021 12:00:00 AM,1345
211711756,08/17/2021 12:00:00 AM,07/28/2021 12:00:00 AM,743
212108785,05/12/2021 12:00:00 AM,04/26/2021 12:00:00 AM,2030
211016135,12/28/2021 12:00:00 AM,12/28/2021 12:00:00 AM,2100
210216356,10/17/2021 12:00:00 AM,10/17/2021 12:00:00 AM,2000
211015008,11/27/2021 12:00:00 AM,11/27/2021 12:00:00 AM,940
210713735,09/30/2021 12:00:00 AM,09/30/2021 12:00:00 AM,1200
212012142,07/26/2021 12:00:00 AM,07/26/2021 12:00:00 AM,1200
211707396,04/12/2021 12:00:00 AM,04/12/2021 12:00:00 AM,830
211411289,05/10/2021 12:00:00 AM,05/10/2021 12:00:00 AM,2345
211114113,10/13/2021 12:00:00 AM,10/13/2021 12:00:00 AM,1550
211707859,04/24/2021 12:00:00 AM,04/24/2021 12:00:00 AM,1600
211817663,09/28/2021 12:00:00 AM,09/28/2021 12:00:00 AM,1830
211612837,10/27/2021 12:00:00 AM,10/26/2021 12:00:00 AM,2125
210807405,03/25/2021 12:00:00 AM,03/25/2021 12:00:00 AM,1245
211007238,04/19/2021 12:00:00 AM,04/19/2021 12:00:00 AM,1130
211815210,08/14/2021 12:00:00 AM,08/14/2021 12:00:00 AM,2030
210817593,12/13/2021 12:00:00 AM,12/13/2021 12:00:00 AM,2200
211716176,12/14/2021 12:00:00 AM,10/31/2021 12:00:00 AM,800
210609172,04/30/2021 12:00:00 AM,04/30/2021 12:00:00 AM,900
222004005,12/31/2021 12:00:00 AM,12/31/2021 12:00:00 AM,2010
211014041,11/01/2021 12:00:00 AM,11/01/2021 12:00:00 AM,210
212107032,03/26/2021 12:00:00 AM,03/26/2021 12:00:00 AM,1020
211316530,09/27/2021 12:00:00 AM,09/27/2021 12:00:00 AM,1700
211004290,01/09/2021 12:00:00 AM,01/08/2021 12:00:00 AM,1500
211612217,10/06/2021 12:00:00 AM,10/06/2021 12:00:00 AM,1600
211715832,12/06/2021 12:00:00 AM,12/06/2021 12:00:00 AM,930
211008787,06/06/2021 12:00:00 AM,04/23/2021 12:00:00 AM,800
212110897,07/03/2021 12:00:00 AM,07/02/2021 12:00:00 AM,1045
211009714,07/02/2021 12:00:00 AM,06/27/2021 12:00:00 AM,2100
212114641,09/30/2021 12:00:00 AM,09/29/2021 12:00:00 AM,1
211710622,07/14/2021 12:00:00 AM,07/14/2021 12:00:00 AM,1218
212006820,03/16/2021 12:00:00 AM,03/16/2021 12:00:00 AM,845
210710215,06/25/2021 12:00:00 AM,06/25/2021 12:00:00 AM,2000
212111837,07/25/2021 12:00:00 AM,07/25/2021 12:00:00 AM,1125
211710729,07/18/2021 12:00:00 AM,07/18/2021 12:00:00 AM,815
211611367,09/10/2021 12:00:00 AM,09/10/2021 12:00:00 AM,811
212010287,06/10/2021 12:00:00 AM,06/10/2021 12:00:00 AM,1435
210512511,08/10/2021 12:00:00 AM,08/10/2021 12:00:00 AM,2200
210617273,10/12/2021 12:00:00 AM,10/12/2021 12:00:00 AM,1410
211015209,12/02/2021 12:00:00 AM,12/01/2021 12:00:00 AM,1830
