DR_NO	Date Rptd	DATE OCC	TIME OCC	AREA	AREA NAME	Rpt Dist No	Part 1-2	Crm Cd	Vict Age	Vict Sex	Vict Descent	LAT	LON
220715286	10/13/2022 12:00:00 AM	06/01/2020 12:00:00 AM	2359	7	Wilshire	722	2	886	59	F	W	34.0744	-118.3711
221322455	12/14/2022 12:00:00 AM	08/31/2020 12:00:00 AM	1201	13	Newton	1371	2	354	48	F	B	33.9924	-118.2772
220308220	03/29/2022 12:00:00 AM	06/12/2020 12:00:00 AM	155	3	Southwest	321	2	354	24	M	B	34.0238	-118.3669
221917036	11/03/2022 12:00:00 AM	11/03/2020 12:00:00 AM	1415	19	Mission	1974	2	740	45	M	W	34.2337	-118.4553
221308375	03/21/2022 12:00:00 AM	02/04/2020 12:00:00 AM	2115	13	Newton	1361	1	236	40	F	H	33.9983	-118.2762
221512237	03/04/2022 12:00:00 AM	03/01/2020 12:00:00 AM	700	15	N Hollywood	1585	1	341	58	F	W	34.143	-118.3768
220111774	05/06/2022 12:00:00 AM	05/25/2020 12:00:00 AM	1300	1	Central	111	1	236	29	F	H	34.0615	-118.2412
201813532	07/05/2020 12:00:00 AM	07/05/2020 12:00:00 AM	1400	18	Southeast	1842	1	510	0			33.9374	-118.2784
231109831	06/06/2023 12:00:00 AM	04/02/2020 12:00:00 AM	2359	11	Northeast	1124	2	845	0	Others	X	34.118	-118.2489
221225690	12/19/2022 12:00:00 AM	05/01/2020 12:00:00 AM	105	12	77th Street	1232	2	354	36	F	B	33.989	-118.3308
221611890	08/30/2022 12:00:00 AM	02/09/2020 12:00:00 AM	1	16	Foothill	1654	2	354	23	F	H	34.2647	-118.4019
210908888	05/04/2021 12:00:00 AM	11/12/2020 12:00:00 AM	1925	9	Van Nuys	909	2	354	45	F	W	34.2066	-118.4341
210404363	01/11/2021 12:00:00 AM	12/18/2020 12:00:00 AM	1230	4	Hollenbeck	478	1	341	0	M	W	34.0276	-118.2005
220106106	02/06/2022 12:00:00 AM	11/20/2020 12:00:00 AM	2300	1	Central	145	2	626	25	F	O	34.0476	-118.2477
222105712	02/13/2022 12:00:00 AM	01/01/2020 12:00:00 AM	1010	21	Topanga	2103	2	354	25	M	O	34.229	-118.6084
230217098	08/21/2023 12:00:00 AM	12/01/2020 12:00:00 AM	2220	2	Rampart	271	2	354	47	F	W	34.0539	-118.2799
221607826	05/01/2022 12:00:00 AM	04/01/2020 12:00:00 AM	1400	16	Foothill	1617	2	812	6	F	H	34.2692	-118.3166
231505624	02/09/2023 12:00:00 AM	08/06/2020 12:00:00 AM	1025	15	N Hollywood	1545	2	354	52	M	W	34.1649	-118.3921
221405000	01/19/2022 12:00:00 AM	03/02/2020 12:00:00 AM	1020	14	Pacific	1424	2	354	37	M	W	34.0167	-118.4382
220711710	07/15/2022 12:00:00 AM	03/04/2020 12:00:00 AM	2220	7	Wilshire	732	2	354	66	M	W	34.0678	-118.3645
221009305	05/17/2022 12:00:00 AM	06/01/2020 12:00:00 AM	1000	10	West Valley	1065	2	956	42	F	H	34.167	-118.5203
220610693	05/23/2022 12:00:00 AM	08/05/2020 12:00:00 AM	1336	6	Hollywood	645	2	354	34	M	W	34.1015	-118.3434
221806712	02/28/2022 12:00:00 AM	01/01/2020 12:00:00 AM	700	18	Southeast	1822	2	812	8	F	B	33.9429	-118.2739
221706362	03/08/2022 12:00:00 AM	06/01/2020 12:00:00 AM	1200	17	Devonshire	1781	2	662	59	F	H	34.2306	-118.5885
221305642	02/03/2022 12:00:00 AM	05/01/2020 12:00:00 AM	800	13	Newton	1395	2	354	42	F	H	33.9784	-118.263
221806711	02/28/2022 12:00:00 AM	01/01/2020 12:00:00 AM	700	18	Southeast	1822	1	815	2	F	B	33.9429	-118.2739
231010971	06/30/2023 12:00:00 AM	01/18/2020 12:00:00 AM	1435	10	West Valley	1028	2	354	47	M	H	34.1866	-118.5011
220804236	01/04/2022 12:00:00 AM	12/01/2020 12:00:00 AM	700	8	West LA	895	2	954	13	F	B	34.031	-118.411
221505658	02/08/2022 12:00:00 AM	07/02/2020 12:00:00 AM	1300	15	N Hollywood	1566	2	354	52	F	W	34.1493	-118.3682
230610642	06/02/2023 12:00:00 AM	07/25/2020 12:00:00 AM	1835	6	Hollywood	631	2	354	55	M	B	34.0986	-118.388
221715285	10/26/2022 12:00:00 AM	01/01/2020 12:00:00 AM	1200	17	Devonshire	1708	2	627	5	M	B	34.288	-118.4971
231715425	09/20/2023 12:00:00 AM	09/19/2020 12:00:00 AM	2000	17	Devonshire	1797	1	420	0			34.2285	-118.4958
210708528	05/07/2021 12:00:00 AM	04/07/2020 12:00:00 AM	620	7	Wilshire	789	2	900	71	F	B	34.0385	-118.3213
