DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,,
211209638,12,77th Street,1245,67TH ST,VERMONT,33.9785,-118.2919,,,,,,,,,,,,,,,,
211812291,18,Southeast,1837,WILMINGTON AV,103RD ST,33.9432,-118.2391,,,,,,,,,,,,,,,,
210100640,1,Central,138,200 BOYD ST,,34.0476,-118.2449,,,,,,,,,,,,,,,,
210512118,5,Harbor,541,1200 N PARK WESTERN DR,,33.756,-118.2993,,,,,,,,,,,,,,,,
211805523,18,Southeast,1805,400 E 92ND ST,,33.9529,-118.2673,,,,,,,,,,,,,,,,
211709187,17,Devonshire,1791,8400 WINNETKA AV,,34.2222,-118.571,,,,,,,,,,,,,,,,
211810983,18,Southeast,1829,2100 E 101ST ST,,33.9449,-118.2344,,,,,,,,,,,,,,,,
210506906,5,Harbor,563,1100 S PACIFIC AV,,33.7321,-118.295,,,,,,,,,,,,,,,,
211210085,12,77th Street,1245,NORMANDIE,FLORENCE,33.9746,-118.3003,,,,,,,,,,,,,,,,
212007676,20,Olympic,2039,700 S WESTMORELAND AV,,34.0593,-118.2891,,,,,,,,,,,,,,,,
211800665,18,Southeast,1802,90TH ST,BROADWAY,33.9546,-118.2782,,,,,,,,,,,,,,,,
211613599,16,Foothill,1622,11100 TELFAIR AV,,34.2715,-118.434,,,,,,,,,,,,,,,,
211207751,12,77th Street,1266,300 W 81ST ST,,33.9659,-118.2783,,,,,,,,,,,,,,,,
210817005,8,West LA,839,SANTA MONICA,CENTURY PARK,34.0591,-118.4214,,,,,,,,,,,,,,,,
210710865,7,Wilshire,737,LA BREA,8TH ST,34.0605,-118.3444,,,,,,,,,,,,,,,,
211910018,19,Mission,1921,ROXFORD,INTERSTATE F,34.3009,-118.4696,,,,,,,,,,,,,,,,
211223266,12,77th Street,1251,CRENSHAW,71ST ST,33.9757,-118.3309,,,,,,,,,,,,,,,,
210511940,5,Harbor,519,1200 GOODRICH AV,,33.7888,-118.2389,,,,,,,,,,,,,,,,
211807272,18,Southeast,1802,8700 S BROADWAY,,33.9583,-118.2782,,,,,,,,,,,,,,,,
210119339,1,Central,129,COMMERCIAL,CENTER ST,34.0527,-118.2314,,,,,,,,,,,,,,,,
210308897,3,Southwest,396,4100 S HOOVER ST,,34.0073,-118.2894,,,,,,,,,,,,,,,,
212118010,21,Topanga,2134,22100 SATICOY ST,,34.2083,-118.6082,,,,,,,,,,,,,,,,
211313066,13,Newton,1367,1600 E VERNON AV,,34.0039,-118.2456,,,,,,,,,,,,,,,,
210400973,4,Hollenbeck,464,200 N SOTO ST,,34.0445,-118.2116,,,,,,,,,,,,,,,,
210115644,1,Central,182,FLOWER,PICO,34.0406,-118.2664,,,,,,,,,,,,,,,,
211216371,12,77th Street,1267,OLIVE ST,MANCHESTER AV,33.9601,-118.2793,,,,,,,,,,,,,,,,
211206083,12,77th Street,1218,5200 S HOOVER ST,,33.9956,-118.2872,,,,,,,,,,,,,,,,
211204743,12,77th Street,1263,8300 S WESTERN AV,,33.9627,-118.309,,,,,,,,,,,,,,,,
211612288,16,Foothill,1641,10300 RINCON AV,,34.2575,-118.4293,,,,,,,,,,,,,,,,
210512173,5,Harbor,511,GAFFEY,ANAHEIM,33.7926,-118.3043,,,,,,,,,,,,,,,,
211917047,19,Mission,1982,SEPULVEDA,PARTHENIA,34.2307,-118.4675,,,,,,,,,,,,,,,,
211414508,14,Pacific,1412,600 SPEEDWAY,,33.9926,-118.4779,,,,,,,,,,,,,,,,
212109517,21,Topanga,2104,8700 TOPANGA CANYON BL,,34.2285,-118.6036,,,,,,,,,,,,,,,,
210214423,2,Rampart,261,CORONADO ST,8TH ST,34.0573,-118.2832,,,,,,,,,,,,,,,,
211810440,18,Southeast,1822,103RD ST,MAIN ST,33.9429,-118.2739,,,,,,,,,,,,,,,,
210111268,1,Central,195,1800 S MAIN ST,,34.0322,-118.2637,,,,,,,,,,,,,,,,
211600855,16,Foothill,1675,SUNLAND,GLENOAKS,34.2299,-118.3665,,,,,,,,,,,,,,,,
211416282,14,Pacific,1494,TUNNEL ST,SEPULVEDA,33.942,-118.4095,,,,,,,,,,,,,,,,
210507334,5,Harbor,529,500 BROAD AV,,33.7756,-118.2608,,,,,,,,,,,,,,,,
211412756,14,Pacific,1412,OCEAN FRONT WK,CLUBHOUSE,33.989,-118.4755,,,,,,,,,,,,,,,,
210115050,1,Central,105,500 CASANOVA ST,,34.0735,-118.23,,,,,,,,,,,,,,,,
211820766,18,Southeast,1801,8800 S HOOVER ST,,33.9551,-118.287,,,,,,,,,,,,,,,,
210205299,2,Rampart,217,BURLINGTON AV,TEMPLE ST,34.0703,-118.264,,,,,,,,,,,,,,,,
211315877,13,Newton,1377,5700 DUARTE ST,,33.9908,-118.2423,,,,,,,,,,,,,,,,
